Numero de catalogacao(HIP),Ascensao  reta(alpha),Declinacao (delta),Magnitude visual(V),Real ID(HIP)
25813,82.69603301,5.94821792,4.2,25813
25859,82.8030645,-35.47043592,3.86,25859
25923,82.98275119,-7.30152625,4.62,25923
25930,83.00166562,-0.2990934,2.25,25930
25945,83.0531302,18.59424525,4.32,25945
25984,83.18197584,32.1920314,4.71,25984
25985,83.18255798,-17.82229227,2.58,25985
26069,83.40631813,-62.48985585,3.76,26069
26176,83.70515764,9.48958528,4.39,26176
26199,83.76117163,-6.00202867,4.78,26199
26207,83.78449043,9.93416294,3.39,26207
26220,83.81592896,-5.38731536,4.98,26220
26235,83.84541591,-5.41606331,4.98,26235
26237,83.84650694,-4.83834045,4.58,26237
26241,83.85825475,-5.90989984,2.75,26241
26311,84.05338572,-1.20191725,1.69,26311
26366,84.22637775,9.291412,4.09,26366
26451,84.41118447,21.14259299,2.97,26451
26549,84.68652211,-2.60006791,3.77,26549
26563,84.72121589,-7.21270844,4.77,26563
26594,84.79644123,4.12146667,4.5,26594
26634,84.91224975,-34.07404941,2.65,26634
26727,85.18968672,-1.94257841,1.74,26727
26736,85.21131577,-1.12878569,4.95,26736
26777,85.32381426,16.53418318,4.84,26777
26885,85.61943491,1.47466498,4.9,26885
27072,86.11656241,-22.44748663,3.59,27072
27100,86.19341279,-65.7355408,4.34,27100
27288,86.73895728,-14.82194717,3.55,27288
27321,86.82118054,-51.06671329,3.85,27321
27366,86.93911641,-9.66960186,2.07,27366
27468,87.25399777,24.56755473,4.88,27468
27483,87.29358126,39.18113322,4.51,27483
27511,87.38726446,12.65136584,4.89,27511
27530,87.45656999,-56.1664886,4.5,27530
27628,87.7398034,-35.76929225,3.12,27628
27639,87.7600428,37.30568175,4.72,27639
27654,87.82980343,-20.87751376,3.76,27654
27673,87.87246934,39.14847936,3.97,27673
27750,88.11017813,1.8551579,4.76,27750
27810,88.2786848,-33.8014395,4.88,27810
27830,88.33184814,27.61228536,4.56,27830
27890,88.52458376,-63.09102096,4.65,27890
27913,88.59618305,20.27641498,4.39,27913
27949,88.71160776,55.7069049,4.96,27949
27989,88.79287161,7.40703634,0.45,27989
28010,88.87454313,-37.12060931,4.97,28010
28103,89.10132627,-14.16803805,3.71,28103
28199,89.38421613,-35.28330688,4.36,28199
28237,89.49857371,25.95391597,4.81,28237
28328,89.78662719,-42.81510761,3.96,28328
28358,89.88145972,54.28498197,3.72,28358
28360,89.88237261,44.94743492,1.9,28360
28380,89.93015897,37.21276409,2.65,28380
28404,89.98375587,45.93675346,4.3,28404
28413,90.01393918,-3.07407681,4.53,28413
28574,90.46010757,-10.59793918,4.92,28574
28614,90.59579323,9.64736756,4.12,28614
28716,90.9799315,20.13845865,4.64,28716
28734,91.0300689,23.26363207,4.16,28734
28816,91.24638576,-16.48442713,4.92,28816
28910,91.53889172,-14.93528629,4.67,28910
29038,91.89300774,14.76852318,4.42,29038
29276,92.574638,-54.96866057,4.72,29276
29426,92.98498656,14.20881425,4.45,29426
29434,93.01365054,16.13044684,4.95,29434
29651,93.71390194,-6.27472737,3.99,29651
29655,93.71956952,22.50682376,3.31,29655
29696,93.84473576,29.49871224,4.32,29696
29807,94.13806399,-35.14073157,4.37,29807
29997,94.71158258,69.3200343,4.76,29997
30060,94.90579498,59.01090518,4.44,30060
30093,94.9983516,-2.94449028,4.91,30093
30122,95.07827982,-30.06337656,3.02,30122
30277,95.52852147,-33.43627251,3.85,30277
30324,95.6749475,-17.95591658,1.98,30324
30343,95.73996302,22.51385027,2.87,30343
30419,95.94207368,4.59283881,4.39,30419
30438,95.98787763,-52.69571799,-0.62,30438
30520,96.22459158,49.28789903,4.92,30520
30788,97.04257272,-32.58012947,4.47,30788
30867,97.20447548,-7.03305042,3.76,30867
30883,97.24079361,20.2121672,4.13,30883
31125,97.96403433,-23.41843727,4.34,31125
31216,98.22595658,7.33297921,4.47,31216
31407,98.74411397,-52.97563454,4.35,31407
31416,98.76408302,-22.96483318,4.54,31416
31592,99.17082883,-19.25570928,3.95,31592
31681,99.42792641,16.39941482,1.93,31681
31685,99.44029869,-43.19592394,3.17,31685
31700,99.47260802,-18.23745713,4.42,31700
31827,99.81965168,-14.14574673,4.82,31827
31832,99.83261264,42.48901214,4.8,31832
31978,100.24442101,9.89576021,4.66,31978
32246,100.98304088,25.13115531,3.06,32246
32249,100.99705857,13.22814319,4.49,32249
32349,101.28854105,-16.71314306,-1.44,32349
32362,101.3226398,12.89605513,3.35,32362
32438,101.55896951,59.44169108,4.86,32438
32533,101.83268467,8.03728277,4.77,32533
32578,101.96523679,2.41218914,4.48,32578
32607,102.04807134,-61.94197988,3.24,32607
32759,102.46027285,-32.50848752,3.5,32759
32761,102.46381712,-53.62249221,4.41,32761
32768,102.48390349,-50.61439973,2.94,32768
32844,102.69151315,41.78156548,4.99,32844
32855,102.71812209,-34.36732059,4.99,32855
33018,103.1972503,33.96136985,3.6,33018
33092,103.38712732,-20.22426366,4.82,33092
33152,103.53314518,-24.18422296,3.89,33152
33160,103.54783633,-12.03859273,4.08,33160
33202,103.66080771,13.17801628,4.73,33202
33302,103.90582904,-20.13659348,4.66,33302
33347,104.03427636,-17.05424675,4.36,33347
33357,104.0666214,-48.72116448,4.94,33357
33449,104.31916052,58.42305973,4.35,33449
33485,104.40468738,45.09410202,4.9,33485
33579,104.65644451,-28.97208931,1.5,33579
33694,105.0160332,76.97744152,4.55,33694
33856,105.42979876,-27.93484165,3.49,33856
33971,105.72824798,-4.23923814,4.99,33971
33977,105.75613986,-23.83330131,3.02,33977
34045,105.93955493,-15.63325876,4.11,34045
34059,105.97356647,-49.58425759,4.92,34059
34088,106.02723079,20.57029939,4.01,34088
34444,107.09785853,-26.39320776,1.83,34444
34481,107.18676883,-70.49919435,3.78,34481
34495,107.21281817,-39.65567374,4.83,34495
34622,107.55700787,-4.23763568,4.91,34622
34693,107.78496505,30.24528065,4.41,34693
34752,107.91371845,39.32054373,4.91,34752
34769,107.96608486,-0.49278056,4.15,34769
34834,108.14058722,-46.75956448,4.49,34834
34899,108.30571289,-45.18252474,4.87,34899
34922,108.38429537,-44.64052957,4.42,34922
34981,108.56340179,-26.35251617,4.42,34981
35020,108.65893526,-48.27192832,4.75,35020
35037,108.70275679,-26.77268601,4.01,35037
35205,109.14583928,-27.88127313,4.66,35205
35210,109.153487,-23.31560155,4.83,35210
35228,109.20762844,-67.95717248,3.97,35228
35264,109.28568399,-37.09748689,2.71,35264
35350,109.52336162,16.54047526,3.58,35350
35363,109.57667037,-36.7339666,4.65,35363
35412,109.66825335,-24.55870761,4.88,35412
35415,109.67703283,-24.95438447,4.37,35415
35550,110.0307889,21.98233941,3.5,35550
35727,110.55637515,-19.01658444,4.94,35727
35904,111.02377104,-29.30311979,2.45,35904
36041,111.41207798,9.27611835,4.99,36041
36046,111.43198371,27.79828561,3.78,36046
36145,111.67858726,49.21164489,4.61,36145
36188,111.78780121,8.28940893,2.89,36188
36284,112.04095607,8.92550376,4.33,36284
36366,112.27754045,31.78407932,4.16,36366
36377,112.3078263,-43.30189129,3.25,36377
36425,112.44909205,12.00661101,4.55,36425
36431,112.4642256,-23.02429924,4.85,36431
36514,112.67754202,-30.96228313,4.65,36514
36547,112.76866761,82.41156871,4.92,36547
36773,113.44986614,-14.52390109,4.82,36773
36795,113.51335813,-22.29618077,4.44,36795
36850,113.65001898,31.88863645,1.58,36850
36917,113.8455718,-28.36927798,4.65,36917
36942,113.91541745,-52.53380809,4.93,36942
36962,113.98071783,26.89600343,4.06,36962
37096,114.34216663,-34.96857044,4.53,37096
37173,114.57519746,-25.36478805,4.69,37173
37229,114.70783872,-26.8038924,3.8,37229
37265,114.79148501,34.58463287,4.89,37265
37279,114.82724194,5.22750767,0.4,37279
37297,114.86397492,-38.3080602,4.84,37297
37379,115.09671685,-15.26385208,4.98,37379
37447,115.31198612,-9.55108315,3.94,37447
37504,115.45498347,-72.60613528,3.93,37504
37609,115.751907,58.71048707,4.93,37609
37629,115.82785545,28.8840717,4.23,37629
37648,115.88498187,-28.41095714,4.63,37648
37677,115.95196716,-28.9548352,3.94,37677
37740,116.11195237,24.39812929,3.57,37740
37819,116.31376631,-37.96859848,3.62,37819
37826,116.33068263,28.02631031,1.16,37826
37908,116.53122379,18.51016877,4.89,37908
38070,117.02156206,-25.93718054,4.4,38070
38089,117.08436527,-47.07753199,4.69,38089
38164,117.30957923,-46.37322729,4.1,38164
38170,117.32357809,-24.85978401,3.34,38170
38414,118.05435622,-40.57579889,3.71,38414
38455,118.16105542,-38.86282206,4.49,38455
38500,118.26517655,-49.61307949,4.63,38500
38518,118.32567862,-48.10294824,4.22,38518
38538,118.37431874,26.76585858,4.97,38538
38827,119.19475729,-52.98240062,3.46,38827
38835,119.21482616,-22.88014849,4.2,38835
38901,119.41713237,-30.33458703,4.76,38901
38957,119.56018303,-49.24492865,4.47,38957
39079,119.93410303,-3.67957835,4.93,39079
39095,119.96689649,-18.39914242,4.61,39095
39138,120.08320513,-63.56750271,4.81,39138
39211,120.30540155,-1.39242418,4.69,39211
39311,120.56647202,2.33431429,4.39,39311
39424,120.87957982,27.79441794,4.94,39424
39429,120.89612561,-40.00318846,2.21,39429
39757,121.88625899,-24.30443677,2.83,39757
39794,121.98266997,-68.61713647,4.35,39794
39847,122.11459795,51.50667575,4.78,39847
39863,122.14857362,-2.98377649,4.36,39863
39903,122.25357658,-61.3017058,4.74,39903
39906,122.2568477,-19.24500094,4.4,39906
39953,122.38314727,-47.33661177,1.75,39953
40084,122.81800545,-12.92701835,4.72,40084
40091,122.83958436,-39.61855304,4.44,40091
40096,122.85790344,-42.98728888,4.73,40096
40167,123.05295353,17.64813756,4.67,40167
40259,123.33322933,-15.78821451,4.99,40259
40274,123.37301019,-35.89954225,4.78,40274
40326,123.51202967,-40.34773028,4.42,40326
40526,124.12895101,9.18566295,3.53,40526
40702,124.6302785,-76.91998251,4.05,40702
40706,124.6391383,-36.65953286,4.44,40706
40888,125.16203304,-77.4845764,4.34,40888
40945,125.34597645,-33.05437199,4.83,40945
41037,125.62860299,-59.50953829,1.86,41037
41039,125.63207774,-48.49039742,4.79,41039
41075,125.70887544,43.18837233,4.25,41075
41307,126.41529546,-3.90636482,3.91,41307
41312,126.43435936,-66.13652042,3.77,41312
41704,127.56679232,60.7184311,3.35,41704
42134,128.83186765,-58.0092947,4.84,42134
42312,129.41100573,-42.98910371,4.11,42312
42313,129.41419739,5.70379868,4.14,42313
42402,129.68936993,3.34147477,4.45,42402
42483,129.92704475,-29.56086189,4.86,42483
42509,130.00633068,-12.47537441,4.98,42509
42515,130.02556894,-35.30830091,3.97,42515
42527,130.05374429,64.32787175,4.59,42527
42536,130.07337168,-52.92197259,3.6,42536
42568,130.15431317,-59.76101468,4.31,42568
42570,130.15656369,-46.64875492,3.77,42570
42624,130.3047503,-47.31714129,4.74,42624
42662,130.43055822,-15.94314865,4.87,42662
42726,130.6058767,-53.11404062,4.83,42726
42799,130.80619315,3.39866539,4.3,42799
42806,130.82172127,21.46859609,4.66,42806
42828,130.89811451,-33.18641133,3.68,42828
42835,130.91825129,-7.23372781,4.63,42835
42884,131.09985828,-42.64932331,4.05,42884
42911,131.17129209,18.15486399,3.94,42911
42913,131.17582214,-54.70856797,1.93,42913
43023,131.50689464,-46.0415392,3.87,43023
43067,131.5938644,-13.54770494,4.32,43067
43103,131.67430955,28.76000509,4.03,43103
43105,131.67733004,-56.76979718,4.5,43105
43109,131.6943593,6.41890691,3.38,43109
43234,132.10825351,5.83788486,4.35,43234
43347,132.44853466,-45.30790977,4.94,43347
43409,132.63338051,-27.71005869,4.02,43409
43783,133.76192355,-60.64471195,3.84,43783
43813,133.84868687,5.9455277,3.11,43813
43825,133.8813149,-27.68162589,4.87,43825
43878,134.0803251,-52.72351071,4.68,43878
