Numero de catalogacao(HIP),Ascensao  reta(alpha),Declinacao (delta),Magnitude visual(V)
85727,262.77490395,-60.68360667,3.6
85792,262.96050661,-49.87598159,2.84
85927,263.40219373,-37.10374835,1.62
86032,263.73335321,12.56057584,2.08
86228,264.32969072,-42.99782155,1.86
86263,264.39677181,-15.39840835,3.54
86414,264.86621847,46.00632216,3.82
86670,265.62199908,-39.02992092,2.39
86742,265.86823714,4.56691684,2.76
86929,266.43334347,-64.7237345,3.61
86974,266.61549553,27.72249917,3.42
87073,266.89617137,-40.12698197,2.99
87108,266.97322515,2.70745875,3.75
87261,267.4643802,-37.04337105,3.19
87585,268.38178961,56.87245216,3.73
87808,269.06324389,37.25052158,3.86
87833,269.15157439,51.48895101,2.24
87933,269.44096106,29.24792527,3.7
88048,269.75665662,-9.77334973,3.32
88192,270.16131466,2.93158759,3.93
88635,271.45218586,-30.42365007,2.98
88714,271.65782832,-50.09145462,3.65
88771,271.8375861,9.56365345,3.71
88794,271.88562824,28.76247025,3.84
89341,273.44086963,-21.05883031,3.84
89642,274.4072049,-36.76128103,3.1
89931,275.24842337,-29.82803914,2.72
89937,275.25974572,72.73369763,3.55
89962,275.32883578,-2.897122,3.23
90139,275.92402821,21.77034249,3.85
90185,276.04310967,-34.3843146,1.79
90422,276.74345947,-45.96832919,3.49
90496,276.99278955,-25.42124732,2.82
91117,278.80182442,-8.24330819,3.85
91262,279.23410832,38.78299311,0.03
92041,281.41397083,-26.9907794,3.17
92420,282.51997462,33.36267788,3.52
92855,283.81631956,-26.29659428,2.05
93085,284.43241556,-21.10662433,3.52
93194,284.73593568,32.68955312,3.25
93506,285.65301428,-29.88011429,2.6
93683,286.17055765,-21.74135451,3.76
93747,286.3525518,13.86370983,2.99
93805,286.56229139,-4.88233456,3.43
93864,286.73517629,-27.66981416,3.32
94141,287.44097404,-21.02352534,2.88
94376,288.13814581,67.66131695,3.07
94779,289.27545794,53.36816064,3.8
95168,290.41823037,-17.84725155,3.92
95241,290.65952718,-44.45891013,3.96
95347,290.97146411,-40.61564629,3.96
95501,291.37396941,3.11457923,3.36
95853,292.42641389,51.72946747,3.76
95947,292.68035529,27.9596948,3.05
97165,296.24350878,45.13069195,2.86
97278,296.56487567,10.61326869,2.72
97365,296.84693842,18.53425912,3.68
97433,297.04255658,70.26783533,3.84
97649,297.6945086,8.86738491,0.76
97804,298.11818257,1.00567827,3.87
98036,298.82819233,6.40793334,3.71
98110,299.07665069,35.08349079,3.89
98337,299.68911516,19.49209287,3.51
98495,300.14747226,-72.91018443,3.97
99240,302.17441713,-66.17932101,3.55
99473,302.82610327,-0.82147569,3.24
99675,303.40792782,46.74132417,3.8
99848,303.8679927,47.7142053,3.96
100064,304.5134103,-12.54485877,3.58
100345,305.25269347,-14.78140119,3.05
100453,305.55708346,40.2566815,2.23
100751,306.41187347,-56.73488071,1.94
101769,309.38695734,14.59520289,3.64
101772,309.39162365,-47.29166239,3.11
101958,309.90939395,15.9120527,3.77
102098,310.3579727,45.28033423,1.25
102395,311.2398153,-66.20323826,3.42
102422,311.32195263,61.83679404,3.41
102488,311.55180091,33.96945334,2.48
102618,311.91888574,-9.49568988,3.78
103227,313.70241509,-58.4540947,3.67
103413,314.29338184,41.16719384,3.94
104060,316.23273251,43.92785122,3.72
104732,318.23408977,30.22708128,3.21
104887,318.69727757,38.04432043,3.74
104987,318.95581976,5.2480739,3.92
105199,319.64408982,62.58545529,2.45
105881,321.66678212,-22.41137838,3.77
106032,322.16489595,70.56069481,3.23
106278,322.88966951,-5.57115593,2.9
106481,323.49530361,45.59206564,3.98
106985,325.02225935,-16.66225343,3.69
107089,325.36863801,-77.38946215,3.73
107315,326.04641808,9.87500791,2.38
107556,326.75952199,-16.12656595,2.85
108085,328.48189202,-37.3648229,3.0
109074,331.44593869,-0.31982656,2.95
109176,331.75197729,25.3450461,3.77
109268,332.05781838,-46.96061593,1.73
109427,332.54924902,6.197789,3.52
109492,332.71359131,58.20124992,3.39
